name,token_id,Full Chapter,Short Chapter,color
E51 Thiamine deficiency,251,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E52 Niacin deficiency [pellagra],252,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E53 Deficiency of other b group vitamins,253,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E54 Ascorbic acid deficiency,254,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E55 Vitamin d deficiency,255,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E56 Other vitamin deficiencies,256,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E58 Dietary calcium deficiency,257,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E59 Dietary selenium deficiency,258,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E60 Dietary zinc deficiency,259,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E61 Deficiency of other nutrient elements,260,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E63 Other nutritional deficiencies,261,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E64 Sequelae of malnutrition and other nutritional deficiencies,262,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E65 Localised adiposity,263,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E66 Obesity,264,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E67 Other hyperalimentation,265,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E68 Sequelae of hyperalimentation,266,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E70 Disorders of aromatic amino-acid metabolism,267,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E71 Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,268,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E72 Other disorders of amino-acid metabolism,269,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E73 Lactose intolerance,270,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E74 Other disorders of carbohydrate metabolism,271,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E75 Disorders of sphingolipid metabolism and other lipid storage disorders,272,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E76 Disorders of glycosaminoglycan metabolism,273,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E77 Disorders of glycoprotein metabolism,274,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E78 Disorders of lipoprotein metabolism and other lipidaemias,275,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E79 Disorders of purine and pyrimidine metabolism,276,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E80 Disorders of porphyrin and bilirubin metabolism,277,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E83 Disorders of mineral metabolism,278,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E84 Cystic fibrosis,279,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E85 Amyloidosis,280,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E86 Volume depletion,281,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
"E87 Other disorders of fluid, electrolyte and acid-base balance",282,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E88 Other metabolic disorders,283,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
"E89 Postprocedural endocrine and metabolic disorders, not elsewhere classified",284,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
F00 Dementia in alzheimer's disease,285,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F01 Vascular dementia,286,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F02 Dementia in other diseases classified elsewhere,287,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F03 Unspecified dementia,288,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F04 Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",289,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F05 Delirium, not induced by alcohol and other psychoactive substances",290,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F06 Other mental disorders due to brain damage and dysfunction and to physical disease,291,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F07 Personality and behavioural disorders due to brain disease, damage and dysfunction",292,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F09 Unspecified organic or symptomatic mental disorder,293,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F10 Mental and behavioural disorders due to use of alcohol,294,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F11 Mental and behavioural disorders due to use of opioids,295,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F12 Mental and behavioural disorders due to use of cannabinoids,296,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F13 Mental and behavioural disorders due to use of sedatives or hypnotics,297,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F14 Mental and behavioural disorders due to use of cocaine,298,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F15 Mental and behavioural disorders due to use of other stimulants, including caffeine",299,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F16 Mental and behavioural disorders due to use of hallucinogens,300,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F17 Mental and behavioural disorders due to use of tobacco,301,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F18 Mental and behavioural disorders due to use of volatile solvents,302,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F19 Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,303,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F20 Schizophrenia,304,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F21 Schizotypal disorder,305,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F22 Persistent delusional disorders,306,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F23 Acute and transient psychotic disorders,307,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F24 Induced delusional disorder,308,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F25 Schizoaffective disorders,309,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F28 Other nonorganic psychotic disorders,310,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F29 Unspecified nonorganic psychosis,311,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F30 Manic episode,312,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F31 Bipolar affective disorder,313,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F32 Depressive episode,314,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F33 Recurrent depressive disorder,315,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F34 Persistent mood [affective] disorders,316,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F38 Other mood [affective] disorders,317,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F39 Unspecified mood [affective] disorder,318,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F40 Phobic anxiety disorders,319,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F41 Other anxiety disorders,320,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F42 Obsessive-compulsive disorder,321,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F43 Reaction to severe stress, and adjustment disorders",322,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F44 Dissociative [conversion] disorders,323,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F45 Somatoform disorders,324,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F48 Other neurotic disorders,325,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F50 Eating disorders,326,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F51 Nonorganic sleep disorders,327,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F52 Sexual dysfunction, not caused by organic disorder or disease",328,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F53 Mental and behavioural disorders associated with the puerperium, not elsewhere classified",329,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F54 Psychological and behavioural factors associated with disorders or diseases classified elsewhere,330,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F55 Abuse of non-dependence-producing substances,331,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F59 Unspecified behavioural syndromes associated with physiological disturbances and physical factors,332,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F60 Specific personality disorders,333,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F61 Mixed and other personality disorders,334,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F62 Enduring personality changes, not attributable to brain damage and disease",335,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F63 Habit and impulse disorders,336,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F64 Gender identity disorders,337,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F65 Disorders of sexual preference,338,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F66 Psychological and behavioural disorders associated with sexual development and orientation,339,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F68 Other disorders of adult personality and behaviour,340,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F69 Unspecified disorder of adult personality and behaviour,341,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F70 Mild mental retardation,342,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F71 Moderate mental retardation,343,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F72 Severe mental retardation,344,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F78 Other mental retardation,345,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F79 Unspecified mental retardation,346,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F80 Specific developmental disorders of speech and language,347,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F81 Specific developmental disorders of scholastic skills,348,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F82 Specific developmental disorder of motor function,349,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F83 Mixed specific developmental disorders,350,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F84 Pervasive developmental disorders,351,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F88 Other disorders of psychological development,352,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F89 Unspecified disorder of psychological development,353,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F90 Hyperkinetic disorders,354,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F91 Conduct disorders,355,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F92 Mixed disorders of conduct and emotions,356,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F93 Emotional disorders with onset specific to childhood,357,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F94 Disorders of social functioning with onset specific to childhood and adolescence,358,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F95 Tic disorders,359,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
F98 Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,360,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"F99 Mental disorder, not otherwise specified",361,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5
"G00 Bacterial meningitis, not elsewhere classified",362,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G01 Meningitis in bacterial diseases classified elsewhere,363,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G02 Meningitis in other infectious and parasitic diseases classified elsewhere,364,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G03 Meningitis due to other and unspecified causes,365,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
"G04 Encephalitis, myelitis and encephalomyelitis",366,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
"G05 Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",367,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G06 Intracranial and intraspinal abscess and granuloma,368,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G07 Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,369,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G08 Intracranial and intraspinal phlebitis and thrombophlebitis,370,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G09 Sequelae of inflammatory diseases of central nervous system,371,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G10 Huntington's disease,372,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G11 Hereditary ataxia,373,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G12 Spinal muscular atrophy and related syndromes,374,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G13 Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,375,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G14 Postpolio syndrome,376,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G20 Parkinson's disease,377,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G21 Secondary parkinsonism,378,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G22 Parkinsonism in diseases classified elsewhere,379,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G23 Other degenerative diseases of basal ganglia,380,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G24 Dystonia,381,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G25 Other extrapyramidal and movement disorders,382,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G30 Alzheimer's disease,383,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
"G31 Other degenerative diseases of nervous system, not elsewhere classified",384,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G32 Other degenerative disorders of nervous system in diseases classified elsewhere,385,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G35 Multiple sclerosis,386,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G36 Other acute disseminated demyelination,387,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G37 Other demyelinating diseases of central nervous system,388,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G40 Epilepsy,389,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G41 Status epilepticus,390,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G43 Migraine,391,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G44 Other headache syndromes,392,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G45 Transient cerebral ischaemic attacks and related syndromes,393,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G46 Vascular syndromes of brain in cerebrovascular diseases,394,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G47 Sleep disorders,395,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G50 Disorders of trigeminal nerve,396,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G51 Facial nerve disorders,397,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G52 Disorders of other cranial nerves,398,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G53 Cranial nerve disorders in diseases classified elsewhere,399,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G54 Nerve root and plexus disorders,400,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G55 Nerve root and plexus compressions in diseases classified elsewhere,401,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G56 Mononeuropathies of upper limb,402,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G57 Mononeuropathies of lower limb,403,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G58 Other mononeuropathies,404,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G59 Mononeuropathy in diseases classified elsewhere,405,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G60 Hereditary and idiopathic neuropathy,406,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G61 Inflammatory polyneuropathy,407,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G62 Other polyneuropathies,408,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G63 Polyneuropathy in diseases classified elsewhere,409,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G64 Other disorders of peripheral nervous system,410,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G70 Myasthenia gravis and other myoneural disorders,411,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G71 Primary disorders of muscles,412,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G72 Other myopathies,413,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G73 Disorders of myoneural junction and muscle in diseases classified elsewhere,414,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G80 Infantile cerebral palsy,415,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G81 Hemiplegia,416,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G82 Paraplegia and tetraplegia,417,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G83 Other paralytic syndromes,418,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G90 Disorders of autonomic nervous system,419,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G91 Hydrocephalus,420,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G92 Toxic encephalopathy,421,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G93 Other disorders of brain,422,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G94 Other disorders of brain in diseases classified elsewhere,423,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G95 Other diseases of spinal cord,424,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G96 Other disorders of central nervous system,425,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
"G97 Postprocedural disorders of nervous system, not elsewhere classified",426,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
"G98 Other disorders of nervous system, not elsewhere classified",427,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
G99 Other disorders of nervous system in diseases classified elsewhere,428,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f
H00 Hordeolum and chalazion,429,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H01 Other inflammation of eyelid,430,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H02 Other disorders of eyelid,431,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H03 Disorders of eyelid in diseases classified elsewhere,432,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H04 Disorders of lachrymal system,433,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H05 Disorders of orbit,434,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H06 Disorders of lachrymal system and orbit in diseases classified elsewhere,435,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H10 Conjunctivitis,436,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H11 Other disorders of conjunctiva,437,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H13 Disorders of conjunctiva in diseases classified elsewhere,438,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H15 Disorders of sclera,439,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H16 Keratitis,440,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H17 Corneal scars and opacities,441,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H18 Other disorders of cornea,442,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H19 Disorders of sclera and cornea in diseases classified elsewhere,443,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H20 Iridocyclitis,444,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H21 Other disorders of iris and ciliary body,445,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H22 Disorders of iris and ciliary body in diseases classified elsewhere,446,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H25 Senile cataract,447,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H26 Other cataract,448,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H27 Other disorders of lens,449,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H28 Cataract and other disorders of lens in diseases classified elsewhere,450,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H30 Chorioretinal inflammation,451,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H31 Other disorders of choroid,452,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H32 Chorioretinal disorders in diseases classified elsewhere,453,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H33 Retinal detachments and breaks,454,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H34 Retinal vascular occlusions,455,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H35 Other retinal disorders,456,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H36 Retinal disorders in diseases classified elsewhere,457,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H40 Glaucoma,458,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H42 Glaucoma in diseases classified elsewhere,459,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H43 Disorders of vitreous body,460,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H44 Disorders of globe,461,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H45 Disorders of vitreous body and globe in diseases classified elsewhere,462,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H46 Optic neuritis,463,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H47 Other disorders of optic [2nd] nerve and visual pathways,464,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H48 Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,465,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H49 Paralytic strabismus,466,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H50 Other strabismus,467,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H51 Other disorders of binocular movement,468,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H52 Disorders of refraction and accommodation,469,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H53 Visual disturbances,470,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H54 Blindness and low vision,471,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H55 Nystagmus and other irregular eye movements,472,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H57 Other disorders of eye and adnexa,473,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H58 Other disorders of eye and adnexa in diseases classified elsewhere,474,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
"H59 Postprocedural disorders of eye and adnexa, not elsewhere classified",475,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8
H60 Otitis externa,476,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H61 Other disorders of external ear,477,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H62 Disorders of external ear in diseases classified elsewhere,478,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H65 Nonsuppurative otitis media,479,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H66 Suppurative and unspecified otitis media,480,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H67 Otitis media in diseases classified elsewhere,481,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H68 Eustachian salpingitis and obstruction,482,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H69 Other disorders of eustachian tube,483,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H70 Mastoiditis and related conditions,484,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H71 Cholesteatoma of middle ear,485,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H72 Perforation of tympanic membrane,486,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H73 Other disorders of tympanic membrane,487,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H74 Other disorders of middle ear and mastoid,488,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H75 Other disorders of middle ear and mastoid in diseases classified elsewhere,489,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H80 Otosclerosis,490,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H81 Disorders of vestibular function,491,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H82 Vertiginous syndromes in diseases classified elsewhere,492,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H83 Other diseases of inner ear,493,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H90 Conductive and sensorineural hearing loss,494,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H91 Other hearing loss,495,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H92 Otalgia and effusion of ear,496,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
"H93 Other disorders of ear, not elsewhere classified",497,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
H94 Other disorders of ear in diseases classified elsewhere,498,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
"H95 Postprocedural disorders of ear and mastoid process, not elsewhere classified",499,VIII. Diseases of the ear and mastoid process,VIII. Ear Diseases,#dbdb8d
I00 Rheumatic fever without mention of heart involvement,500,IX. Diseases of the circulatory system,IX. Circulatory Diseases,#d62728
I01 Rheumatic fever with heart involvement,501,IX. Diseases of the circulatory system,IX. Circulatory Diseases,#d62728
I02 Rheumatic chorea,502,IX. Diseases of the circulatory system,IX. Circulatory Diseases,#d62728
